Term	Freq	Standardized	CUI	SemanticType
gait disorder	1	GAIT DISORDER	C0575081	[fndg]
galantamin	1	Galantamin	C0016967	"[orch, phsu]"
galanthamine	1	Galanthamine	C0016967	"[orch, phsu]"
gastrocrom	1	Gastrocrom	C0720583	"[orch, phsu]"
gastrointestinal bleeding or perforation	1	PERFORATION	C0549099	[fndg]
gastrointestinal disorders	1	GASTROINTESTINAL DISORDERS	C0017178	[dsyn]
gastrointestinal ulceration	1	Ulceration	C0041582	[dsyn]
gds- 15	1	GDS	C1149049	[moft]
gene transfer products	1	Products	C1514468	[enty]
general anesthesia	1	General Anesthesia	C2930406	[phsf]
general cognition	1	Cognition	C0009240	[menp]
general disease	1	General disease	C0849867	[dsyn]
general medical and neurological examination	1	Neurological Examination	C0027853	[diap]
general physical and mental health	1	Mental Health	C0025353	[menp]
generalized lesions	1	lesions	C0221198	[fndg]
generally healthy	1	Healthy	C3898900	[qlco]
geriatric depression scale - 15	1	Geriatric depression scale	C0451184	[inpr]
geriatric depression scale-short form	1	Geriatric depression scale short form	C2919619	[inpr]
gi bleeding	1	GI Bleeding	C0017181	[patf]
gi-disorders	1	Disorders	C0012634	[dsyn]
gilbert's syndrome	1	GILBERT SYNDROME	C0017551	[dsyn]
gingko-	1	Ginkgo	C0330205	[plnt]
ginko-biloba	1	Ginkgo biloba	C0772125	"[orch, phsu]"
ginseng	1	Ginseng	C0086767	[plnt]
glacial acetic acid	1	Glacial Acetic Acid	C0000983	"[irda, orch, phsu]"
glitinide	1	unmapped	unmapped	unmapped
global	1	Global	C2348867	[qlco]
global clinical dementia rating ( cdr ) scale score	1	SCORE	C0449820	[qnco]
global cognitive function	1	"Function, Cognitive"	C0009240	[menp]
global depressive scale	1	Scale	C0349674	[inpr]
glomerular filtration rate	1	Glomerular filtration rate	C1561549	[fndg]
glucose- 6 -phosphate deficiency	1	Glucose-6-phosphate deficiency	C1856381	[fndg]
glucose-6-phosphate dehydrogenase deficiency	1	Glucose-6-Phosphate Dehydrogenase Deficiency	C2939465	[dsyn]
glycaemia value	1	Value	C1522609	[qnco]
glycoslated hb ( a1c )	1	Hb A1c	C0019018	"[aapp, bacs]"
glycosylated (or glycated) hemoglobin (hba1c)	1	Glycated hemoglobin	C0017853	"[aapp, bacs]"
goldmann tonometry	1	Tonometry	C0040420	[diap]
grapefruit containing products	1	Products	C1514468	[enty]
grapefruit juice	1	GRAPEFRUIT JUICE	C0452456	[food]
grapefruit-containing products	1	Products	C1514468	[enty]
gsk239512	1	GSK239512	C3712181	"[orch, phsu]"
guanethidine	1	GUANETHIDINE	C0018318	"[orch, phsu]"
guanfacine	1	GUANFACINE	C0079466	"[orch, phsu]"
gum	1	Gum	C0017562	[bpoc]
h2 -blockers	1	H2 blockers	C0019593	[phsu]
hachinski	1	unmapped	unmapped	unmapped
hachinski ischemia score	1	Hachinski ischemia score	C0475492	[inpr]
hachinski ischemic index	1	% index	C1637833	[qnco]
hads	1	HADS	C0048008	[orch]
haemoglobinopathies	1	haemoglobinopathies	C0019045	[dsyn]
haemorrhage	1	HEMORRHAGE	C0019080	[patf]
haloperidol	1	HALOPERIDOL	C0018546	"[orch, phsu]"
"ham-d ( hamilton, 1960 ) score"	1	SCORE	C0449820	[qnco]
hamilton anxiety scale	1	Scale	C0349674	[inpr]
hamilton depression rating scale	1	hamilton depression rating scale	C0451203	[inpr]
hamilton depression rating scale ( hdrs )	1	hamilton depression rating scale	C0451203	[inpr]
hamilton depression scale	1	Depression scale	C0679604	[inpr]
hamilton depression scale ( 17 -item version ) ( hamd )	1	Depression scale	C0679604	[inpr]
hamilton depression scale ( 17 -item version ) ( hamd ) score	1	SCORE	C0449820	[qnco]
hamilton psychiatric rating scale	1	Psychiatric rating scales	C3825782	"[diap, inpr]"
hc	1	Hc	C1413512	[gngm]
hcy score	1	SCORE	C0449820	[qnco]
head mri	1	head MRI	C0412674	[diap]
head trauma with disturbance of consciousness	1	consciousness	C0009791	[fndg]
headaches	1	Headaches	C0018681	[sosy]
hearing	1	Hearing	C0018767	[phsf]
hearing impairment	1	HEARING IMPAIRMENT	C1384666	[fndg]
heart	1	HEART	C0018787	[bpoc]
heart block	1	"Block, Heart"	C0018794	[dsyn]
heart diseases	1	HEART DISEASES	C0018799	[dsyn]
heart failure new york heart association ( nyha )	1	New Association	C0459867	[fndg]
heart pacemaker	1	heart pacemaker	C0030163	[medd]
heart surgery	1	Heart--Surgery	C0524727	[bmod]
heart/liver/renal failure	1	"Failure, Renal"	C0035078	[dsyn]
height	1	Height	C0489786	[orga]
hematocrit	1	Hematocrit	C0518014	[fndg]
"hematologic, hepatic, cardiovascular"	1	Cardiovascular	C0007226	[bdsy]
"hematologic, hepatic, cardiovascular, pulmonary, gastrointestinal, endocrine, metabolic, renal or other systemic disease"	1	Systemic Disease	C0442893	[dsyn]
hematologic/oncologic disorders	1	Hematologic oncologic disorders	C0376545	[neop]
hematological abnormality	1	Hematological abnormality	C0850715	[dsyn]
hematological disease	1	Hematological Disease	C0018939	[dsyn]
hematological or solid tumor	1	solid tumour	C0280100	[neop]
"hematological, renal, endocrine, pulmonary, gastrointestinal, cardiovascular, hepatic, psychiatric, neurological or allergic disease"	1	Allergic Disease	C0851444	[dsyn]
hemodialysis	1	Haemodialysis	C0019004	[topp]
hemodynamically significant coronary artery disease	1	coronary artery disease	C0010054	[dsyn]
hemoglobin (hgb)	1	Hemoglobin	C0019046	"[aapp, bacs]"
hemorrhagic stroke	1	Haemorrhagic stroke	C0553692	[dsyn]
hepatic disease	1	HEPATIC DISEASE (NOS)	C0023895	[dsyn]
hepatic disorders	1	hepatic disorders	C0023895	[dsyn]
hepatic dysfunction	1	Hepatic dysfunction	C0086565	[patf]
hepatic impairment	1	Hepatic impairment	C0948807	[dsyn]
hepatic or renal disease	1	"RENAL DISEASE, NOS"	C0022658	[dsyn]
hepatic or renal insufficiency	1	RENAL INSUFFICIENCY	C1565489	[dsyn]
"hepatic, cardiovascular, gastrointestinal or hematological illness"	1	Illness	C0221423	[sosy]
"hepatic, renal or respiratory insufficiency"	1	respiratory insufficiency	C1145670	[dsyn]
"hepatic, renal, lung, endocrinal or metabolic disease"	1	Metabolic Disease	C0025517	[dsyn]
"hepatic, renal, pulmonary, metabolic or endocrine disease"	1	Endocrine Disease	C0014130	[dsyn]
hepatic/renal disorders	1	RENAL DISORDERS	C0022658	[dsyn]
hepatitis b surface antigen ( hbsag )	1	HEPATITIS B SURFACE ANTIGEN	C0019168	"[imft, phsu]"
hepatitis b surface antigen (hbsag)	1	HEPATITIS B SURFACE ANTIGEN	C0019168	"[imft, phsu]"
hepatitis b virus	1	HEPATITIS B VIRUS	C0019169	[virs]
"hepatitis b, c"	1	HEPATITIS B	C0019163	[dsyn]
"hepatitis b, hepatitis c or hiv infection"	1	HIV Infection	C0019693	[dsyn]
hepatitis c antibodies	1	Hepatitis C Antibodies	C0166049	"[aapp, imft]"
hepatitis c antibody tests	1	test	C0392366	[inpr]
hepatitis c virus	1	HEPATITIS C VIRUS	C0220847	[virs]
hepatitis c virus ( hcv ) antibodies	1	Hepatitis C Virus Antibodies	C0166049	"[aapp, imft]"
hepatitis c virus (hcv) antibody	1	Hepatitis C virus Antibody	C0166049	"[aapp, imft]"
hepatotoxic drugs	1	Drugs	C0013227	[phsu]
hepatotoxic medication	1	Medication	C0013227	[phsu]
herbal medication	1	Herbal Medication	C1360419	[phsu]
herbal products	1	Products	C1514468	[enty]
herbal remedies	1	Herbal	C3146288	[qlco]
herbal/dietary supplements	1	Herbal Dietary Supplements	C1504473	[topp]
herpes zoster	1	Herpes zoster	C0042338	[virs]
high cognitive performance	1	Performance	C0597198	[inbe]
hip replacement	1	Hip Replacement	C0392806	[topp]
hip/pelvic fracture	1	PELVIC FRACTURE	C0149531	[inpo]
hiv dementia	1	HIV Dementia	C0001849	[dsyn]
hiv disease	1	HIV DISEASE	C0019693	[dsyn]
hiv infection	1	HIV Infection	C0019693	[dsyn]
hiv infection ( human immunodeficiency virus )	1	Human Immunodeficiency Virus	C0019682	[virs]
hiv test	1	HIV test	C1321876	[lbpr]
hiv-1	1	HIV1	C0019704	[virs]
hiv-2	1	HIV 2	C0019707	[virs]
honeysuckle	1	Honeysuckle	C0331065	[plnt]
hormonal replacement therapy	1	Replacement Therapy	C0279033	[topp]
hormone dependent neoplasia	1	Neoplasia	C1882062	[neop]
hormone replacement therapy	1	Hormone Replacement Therapy	C0282402	[topp]
hormone replacement therapy ( hrt )	1	Hormone Replacement Therapy	C0282402	[topp]
horton's disease	1	HORTON DISEASE	C0039483	[dsyn]
hospital anxiety and depression scale	1	anxiety depression scale	C0451107	[inpr]
hospitalization	1	hospitalisation	C0019993	[hlca]
hrt treatment	1	Treatment	C0087111	[topp]
human albumin	1	human albumin	C0304925	"[aapp, phsu]"
human blood	1	BLOOD	C0229664	[bdsu]
human immunodeficiency virus	1	Human Immunodeficiency Virus	C0019682	[virs]
human immunodeficiency virus ( hiv ) antibodies	1	Human Immunodeficiency Virus Antibodies	C0019683	"[aapp, imft]"
human immunodeficiency virus ( hiv ) antigen/antibody	1	Antigen	C0003320	[imft]
human immunodeficiency virus (hiv) type 1/2 antibody	1	Human immunodeficiency virus type 1 antibody	C0369497	"[aapp, imft]"
human immunoglobulins	1	human immunoglobulins	C0358321	"[aapp, imft, phsu]"
huntington s disease	1	Huntington's Disease	C2919056	[ftcn]
huperzine a	1	HUPERZINE A	C0063033	"[orch, phsu]"
hydergine	1	Hydergine	C0591616	"[orch, phsu]"
hydrochlorothiazide	1	HYDROCHLOROTHIAZIDE	C0020261	"[orch, phsu]"
hyper or hypotension	1	HYPOTENSION	C0020649	[fndg]
hypercalcemia	1	HYPERCALCEMIA	C0020437	[dsyn]
hypercholesterolemia	1	HYPERCHOLESTEROLEMIA	C0020443	[dsyn]
hypercoagulability	1	Hypercoagulability	C0398623	[dsyn]
hypertension ( htn )	1	HTN	C0020538	[dsyn]
hypertensive agents	1	Agent	C1254351	[phsu]
"hypertensive, cardiac, pulmonary, vascular, metabolic or hematologic conditions"	1	hematologic condition	C0018939	[dsyn]
hyperthyroidism	1	HYPERTHYROIDISM	C0020550	[dsyn]
hypertriglyceridemia	1	Hypertriglyceridemia	C1522137	[lbtr]
hypnotic or anxiolytic drug	1	anxiolytic drug	C0040614	[phsu]
hypoalbuminaemia	1	Hypoalbuminaemia	C0239981	[dsyn]
hypopigmentation conditions	1	Condition	C1705253	[cnce]
hypovolemia	1	HYPOVOLEMIA	C0546884	[fndg]
icd	1	ICD	C0021122	[mobd]
identical agents	1	Agent	C1254351	[phsu]
iga deficiency	1	IgA Deficiency	C0162538	[dsyn]
illicit drug	1	illicit drug	C0086190	"[hops, phsu]"
illnesses	1	illnesses	C0221423	[sosy]
imaging	1	Imaging	C0011923	[diap]
imaging results	1	Result	C2825142	[fndg]
imaging study	1	Imaging Study	C1881134	[diap]
imidazole antifungal agents	1	Imidazole Antifungal Agents	C0360364	"[orch, phsu]"
imipramine	1	IMIPRAMINE	C0020934	"[orch, phsu]"
immediate confusion after the injury	1	Injury	C3263722	[inpo]
immune abnormalities	1	Abnormalities	C0000768	[cgab]
immune disorder	1	IMMUNE DISORDER (NOS)	C0021053	[dsyn]
immunization	1	immunization	C0042196	[topp]
immunodeficiency	1	Immunodeficiency	C0021051	[dsyn]
immunodeficiency disorders	1	Immunodeficiency Disorder	C0021051	[dsyn]
immunoglobulin	1	Immunoglobulin	C0021027	"[aapp, imft, phsu]"
"immunoglobulin ( ig ) igg, iga or igm levels"	1	Levels	C0441889	[qlco]
immunoglobulin a ( iga ) deficiency	1	IgA Deficiency	C0162538	[dsyn]
immunoglobulin a (iga) deficiency	1	IgA Deficiency	C0162538	[dsyn]
"immunologic, hepatic or endocrine disease"	1	Endocrine Disease	C0014130	[dsyn]
immunological disorder	1	Immunological Disorder	C0021053	[dsyn]
immunomodulatory therapies	1	"Therapies, Immunomodulatory"	C1963758	[topp]
immunomodulatory treatment	1	Treatment	C0087111	[topp]
immunosuppressive	1	immunosuppressive	C0021081	"[imft, phsu]"
immunosuppressive or immunomodulatory therapy	1	"Therapy, Immunomodulatory"	C1963758	[topp]
immunotherapy	1	IMMUNOTHERAPY	C0021083	[topp]
impaired liver- or kidney function	1	kidney function	C0232804	[ortf]
impairment of daily life activities	1	Life	C0376558	[idcn]
implanted brain stimulators	1	brain stimulators	C0810489	[medd]
implanted cardiac pacemaker	1	implanted Cardiac pacemaker	C0848753	[topp]
implanted electronic devices	1	Electronic	C1547561	[idcn]
implanted electronic medical	1	electronic medical	C0013851	[bmod]
implanted ferromagnetic material or devices	1	DEVICES	C0025080	[medd]
implanted medication pumps	1	Pump	C1706421	[mnob]
implanted metal	1	Metal	C0025552	[inch]
implanted metal device	1	Metal device	C0336536	[mnob]
implanted metal objects	1	Object	C1704861	[cnce]
inability	1	unmapped	unmapped	unmapped
"inadequate hepatic, renal or thyroid function"	1	thyroid function	C2242456	[phsf]
incipient dementia	1	dementia	C0011265	[mobd]
infarcts	1	INFARCTS	C0021308	[patf]
infections	1	Infections	C3714514	[patf]
infectious or inflammatory brain disease	1	Brain Disease	C0006111	[dsyn]
"infectious, degenerative or inflammatory/demyelinating cns conditions"	1	Condition	C1705253	[cnce]
inflammation	1	INFLAMMATION	C0021368	[patf]
inflammatory bowel disease	1	INFLAMMATORY BOWEL DISEASE	C0021390	[dsyn]
inflammatory conditions	1	Inflammatory condition	C1290884	[dsyn]
inflammatory neuropathies	1	inflammatory neuropathies	C0270933	[dsyn]
inflammatory or infectious conditions	1	Infectious condition	C0009450	[dsyn]
infusion	1	Infusion	C0574032	[topp]
ingredients	1	Ingredient	C1550600	[chvf]
inhaled protein products	1	Products	C1514468	[enty]
injuries secondary to chronic trauma	1	Trauma	C0043251	[inpo]
inr	1	INR	C0525032	[lbpr]
insanities of type alzheimer	1	TYPE	C0332307	[qlco]
insertion of csf catheter	1	CATHETER	C0085590	[medd]
insomnia	1	Insomnia	C1963237	[fndg]
instrumental activities of daily living (iadl)	1	Instrumental Activities of Daily Living	C0150641	[inpr]
insulin dependent diabetes	1	Insulin Dependent Diabetes	C0011854	[dsyn]
insulin dependent diabetes mellitus	1	"DIABETES MELLITUS, INSULIN DEPENDENT"	C0011854	[dsyn]
insulin secretagogue	1	INSULIN	C1533581	"[aapp, horm, phsu]"
insulin-dependent diabetes mellitus ( iddm )	1	"DIABETES MELLITUS, INSULIN DEPENDENT"	C0011854	[dsyn]
insulin-requiring diabetes	1	Diabetes	C0011849	[dsyn]
insulin-treated diabetes mellitus	1	Insulin treated diabetes mellitus	C0342266	[dsyn]
insult	1	unmapped	unmapped	unmapped
intal	1	Intal	C0591652	"[orch, phsu]"
intellectual disability	1	Intellectual Disability	C3714756	[mobd]
intellectual impairment	1	Intellectual impairment	C0683322	[mobd]
intercurrent illness	1	Illness	C0221423	[sosy]
interferon	1	Interferon	C0733470	"[aapp, imft, phsu]"
international codes for diagnosis ( icd-9 ) codes	1	CODE	C0805701	[inpr]
international psychogeriatric association provisional criteria	1	Criteria	C0243161	[inpr]
interstitial lung disease	1	INTERSTITIAL LUNG DISEASE	C0206062	[dsyn]
intra cerebral haemorrhage	1	Intracerebral haemorrhage NOS	C2937358	[fndg]
intra-vitreal injections	1	INJECTIONS	C1533685	[topp]
intracardiac lines	1	lines	C0205132	[spco]
intracerebral haemorrhage	1	Intracerebral haemorrhage NOS	C2937358	[fndg]
intracerebral hemorrhage	1	Intracerebral haemorrhage NOS	C2937358	[fndg]
intracranial disease	1	Disease	C0012634	[dsyn]
intracranial neoplasm	1	Intracranial Neoplasm	C1527390	[neop]
intraocular metallic shards	1	Metallic	C2986473	[qlco]
intraocular pressure	1	Intraocular pressure	C0021888	[ortf]
intrathecal pumps	1	pumps	C0182537	[medd]
intravenous fluids	1	Intravenous Fluid	C1289919	[sbst]
invasive procedure	1	Invasive procedure	C0348025	[spco]
investigation product	1	Product	C1514468	[enty]
investigational devices	1	Investigational DEVICES	C2346570	[medd]
investigational or marketed drug	1	Drug	C0013227	[phsu]
investigational or other unapproved drug	1	Drug	C0013227	[phsu]
investigational product (ip)	1	Product	C1514468	[enty]
investigational study	1	Investigational study	C0681814	[resa]
investigational study drug	1	study drug	C0013175	[resa]
investigational therapy	1	"Therapy, Investigational"	C0949266	[topp]
investigational treatments	1	"Treatments, Investigational"	C0949266	[topp]
investigational trial	1	Trial	C0008976	[resa]
ionizing radiation	1	Ionizing radiation	C0034538	[npop]
ip	1	Ip	C1308226	"[aapp, enzy]"
iq-code	1	CODE	C0805701	[inpr]
isaac's set test	1	test	C0392366	[inpr]
ischemic cardiac disease	1	Ischemic Cardiac Disease	C0151744	[dsyn]
ischemic heart disease	1	"Ischaemic heart disease, NOS"	C0151744	[dsyn]
ischemic or haemorrhagic stroke	1	Haemorrhagic stroke	C0553692	[dsyn]
ischemic vascular disease	1	"Disease, Vascular"	C0042373	[dsyn]
isoflavones	1	Isoflavones	C0022179	"[orch, phsu]"
isoflurane	1	ISOFLURANE	C0022180	"[orch, phsu]"
isolated bilirubin	1	BILIRUBIN	C0005437	"[bacs, orch]"
isolated vascular dementia	1	"Dementia, Vascular"	C0011269	[dsyn]
itraconazole	1	ITRACONAZOLE	C0064113	"[orch, phsu]"
ivig treatment	1	Treatment	C0087111	[topp]
ixel	1	Ixel	C1527976	"[orch, phsu]"
joint implants	1	Joint implant	C0022414	[medd]
judgment	1	Judgment	C0022423	[menp]
k-mmse	1	MMSE	C0451306	[diap]
k-mmse ( korean - mini mental state exam )	1	mental state exam	C0850338	[topp]
kale	1	Kale	C0330500	[food]
karyotype dx of trisomy	1	Trisomy	C0041107	[dsyn]
kidney dysfunction	1	KIDNEY DYSFUNCTION	C0151746	[patf]
kidney failure	1	"Failure, Kidney"	C0035078	[dsyn]
kidney function	1	kidney function	C0232804	[ortf]
kohlrabi	1	unmapped	unmapped	unmapped
korsakoff's syndrome	1	Korsakov's syndrome	C0349464	[mobd]
lab abnormalities	1	Abnormalities	C0000768	[cgab]
lab values	1	Values	C0042295	[qlco]
labile hypertension	1	labile hypertension	C0262534	[dsyn]
laboratory finding	1	Laboratory Finding	C0587081	[fndg]
laboratory test	1	Laboratory Test	C0022885	[lbpr]
laboratory test abnormalities	1	LABORATORY TEST ABNORMALITY	C0438215	[fndg]
laboratory testing	1	laboratory testing	C0022885	[lbpr]
labs	1	Labs	C0587081	[fndg]
lack of oxygen	1	OXYGEN	C0030054	"[elii, phsu]"
lactation	1	LACTATION	C0022925	[ortf]
lactose	1	LACTOSE	C0022949	"[bacs, orch]"
lacunae	1	Lacuna	C1459585	[euka]
lacunar stroke	1	LACUNAR STROKE	C3178801	[dsyn]
lacune	1	LACUNE	C0241970	[acab]
lamotrigine	1	LAMOTRIGINE	C0064636	"[orch, phsu]"
large body tattoos	1	Tattoos	C1366940	[fndg]
large cortical stroke	1	STROKE	C0038454	[dsyn]
large vessel infarction	1	Infarction	C0021308	[patf]
large-artery stroke	1	STROKE	C0038454	[dsyn]
laser	1	Laser	C0023089	[mnob]
late-onset depression	1	late onset Depression	C0270481	[mobd]
lbd	1	LBD	C0751783	[dsyn]
lbd spectrum dlb	1	DLB	C0752347	[dsyn]
ldl cholesterol level	1	Cholesterol level	C0428466	[lbtr]
learning disorder	1	Learning Disorder	C0023186	[mobd]
left ventricular hypertrophy	1	"Hypertrophy, Left Ventricular"	C0149721	[dsyn]
legal blindness	1	"Blindness, Legal"	C0271215	[dsyn]
leukopenia	1	LEUKOPENIA	C0023530	[dsyn]
"levels of a42, t-tau or p-tau"	1	Tau	C1720655	[inpr]
levodopa	1	LEVODOPA	C0023570	"[aapp, bacs, phsu]"
lewy bodies disease	1	Lewy Body Disease	C0752347	[dsyn]
lewy body dementia ( lbd )	1	LEWY BODY DEMENTIA	C0752347	[dsyn]
lewy body disease	1	Lewy Body Disease	C0752347	[dsyn]
lewy body variant ad	1	Variant	C0205419	[qlco]
lewy-body dementia	1	LEWY BODY DEMENTIA	C0752347	[dsyn]
lfts	1	LFT	C0023901	[lbpr]
lidocaine	1	LIDOCAINE	C0023660	"[orch, phsu]"
life sustaining measures	1	Measure	C0242485	[ftcn]
life-threatening illness or injury	1	Injury	C3263722	[inpo]
linear immunoglobulin a dermatosis	1	Linear immunoglobulin A dermatosis	C0406650	[dsyn]
lipid lowering medication	1	Medication	C0013227	[phsu]
lipoic acid supplementation	1	Supplementation	C0242297	[topp]
live vaccine	1	live vaccine	C0042211	"[imft, phsu]"
liver cirrhosis	1	LIVER CIRRHOSIS	C0023890	[dsyn]
liver disease/cirrhosis	1	CIRRHOSIS	C0023890	[dsyn]
liver disorders	1	liver disorders	C0023895	[dsyn]
liver dysfunction	1	"Dysfunction, Liver"	C0086565	[patf]
liver enzymes	1	liver enzymes	C1287351	[lbtr]
liver failure	1	LIVER FAILURE	C0085605	[dsyn]
liver insufficiency	1	Liver Insufficiency	C1306571	[patf]
liver or kidney malfunctions	1	Kidney Malfunction	C0035078	[dsyn]
liver or renal impairment	1	Renal Impairment	C1565489	[dsyn]
liver or renal insufficiency	1	RENAL INSUFFICIENCY	C1565489	[dsyn]
liver or renal transplants	1	renal transplants	C0022671	[topp]
liver problems	1	liver problems	C0577060	[fndg]
liver serum transaminases	1	Transaminases	C0002594	"[aapp, enzy]"
local anesthetic	1	Local anesthetic NOS	C0002921	[topp]
local dermatological tumors	1	Dermatological tumors	C0037286	[neop]
local infection	1	"Infection, NOS"	C0009450	[dsyn]
logical memory ii score	1	SCORE	C0449820	[qnco]
loperamide	1	LOPERAMIDE	C0023992	"[orch, phsu]"
lopinavir	1	LOPINAVIR	C0674432	"[orch, phsu]"
loss of hearing or eyesight	1	hearing	C1455844	[fndg]
lost	1	Lost	C0745777	[ftcn]
low attenuation	1	Attenuation	C0599946	[acty]
low bone mass density	1	bone mass density	C0813994	[orga]
low molecular weight heparins	1	Low molecular weight heparins	C0019139	"[orch, phsu]"
low-molecular-weight heparin	1	"Heparin, Low-Molecular-Weight"	C0019139	"[orch, phsu]"
lower extremity vaso-occlusive disease	1	Vaso-Occlusive Disease	C0948441	[dsyn]
lower spinal malformations	1	Spinal malformations	C2317476	[cgab]
lp	1	LP	C0037943	[hlca]
luetic brain disease	1	BRAIN	C0006104	[bpoc]
lund-manchester criteria	1	Criteria	C0243161	[inpr]
"lung, heart, metabolic, hematologic, endocrine disease"	1	Endocrine Disease	C0014130	[dsyn]
"lung, infectious, heart or other cns disorders"	1	CNS disorders NOS	C0007682	[dsyn]
lupus erythematosis	1	LUPUS ERYTHEMATOSIS (NOS)	C0024141	[dsyn]
lymphopenia	1	Lymphopenia	C1963164	[fndg]
maalox	1	Maalox	C0065461	"[inch, phsu]"
mab	1	MAb	C0003250	"[aapp, imft]"
macrohemorrhage	1	unmapped	unmapped	unmapped
macrolide-antibiotics	1	Macrolide Antibiotics	C0003240	"[antb, orch]"
madrs	1	MADRS	C4054475	[inpr]
madrs ( montgomery and asberg depression rating scale ) score	1	SCORE	C0449820	[qnco]
magnetic metal implants	1	Implants	C2926601	[clna]
magnetic resonance imaging [mri]	1	"Imaging, Magnetic Resonance"	C0024485	[diap]
major depression with psychotic features	1	Feature	C2348519	[qlco]
major depressive syndrome	1	Depressive Syndrome	C0086133	[mobd]
major organ system toxicity	1	toxicity	C0040539	[qlco]
major psychiatric illness	1	Psychiatric illness	C0004936	[mobd]
malabsorption syndromes	1	MALABSORPTION SYNDROMES	C0024523	[dsyn]
males	1	Males	C0086582	[orga]
malformations	1	malformations	C0000768	[cgab]
malformative intracranial hemorrhage	1	Intracranial haemorrhage	C0151699	[patf]
malignant hypertension	1	"HYPERTENSION, MALIGNANT"	C0020540	[dsyn]
malignant hyperthermia	1	"HYPERTHERMIA, MALIGNANT"	C0024591	[dsyn]
malignant neoplasms	1	Malignant Neoplasms	C0006826	[neop]
malnutrition	1	MALNUTRITION	C0162429	[dsyn]
manic-depressive disorder	1	Manic Depressive Disorder	C0005586	[mobd]
mannitol	1	MANNITOL	C0024730	"[orch, phsu]"
mao	1	Mao	C2658720	[bird]
mao inhibitor	1	MAO inhibitor	C0026457	"[orch, phsu]"
marginally normal cognition	1	Normal cognition	C2712133	[fndg]
marijuana	1	marihuana	C0700258	[plnt]
marin/starkstein criteria	1	Criteria	C0243161	[inpr]
marrow dysfunction	1	Dysfunction	C0277785	[patf]
mass lesion	1	Mass/lesion	C0746408	[neop]
mattis dementia rating scale	1	Dementia rating scale	C0451074	[inpr]
mb	1	MB	C0024853	[geoa]
mci ( amnestic )	1	mCi	C0560005	[qnco]
mdma	1	MDMA	C1266617	[lbpr]
mean bmi	1	Mean	C2347634	[qnco]
mean time immobile	1	Immobile	C0231441	[fndg]
meclizine	1	MECLIZINE	C0025039	"[orch, phsu]"
medial temporal lobe atrophy	1	ATROPHY	C0333641	[patf]
medial temporal lobe atrophy scale mta	1	MTA	C0210657	"[orch, phsu]"
medical and psychiatric condition	1	Psychiatric condition	C0004936	[mobd]
medical and surgical conditions	1	Condition	C1705253	[cnce]
medical co-morbidities	1	co-morbidity	C0009488	[idcn]
medical comorbidities	1	Comorbidities	C0009488	[idcn]
medical condition ( s )	1	S'	C2603362	[clna]
medical condition( s )	1	S'	C2603362	[clna]
medical contraindications	1	Medical Contraindication	C1301624	[fndg]
medical devises	1	Medical	C0199168	[hlca]
medical diseases	1	Diseases	C0012634	[dsyn]
medical food	1	Medical Food	C2927194	[food]
medical or lab evaluation	1	Evaluation	C0220825	[hlca]
medical or neurological condition	1	Neurological condition	C0027765	[dsyn]
medical or neurological conditions	1	Neurological condition	C0027765	[dsyn]
medical or neurological illness	1	Illness	C0221423	[sosy]
medical or psychiatric condition/status	1	Condition status	C3176928	[clna]
medical or psychiatric disease	1	Psychiatric Disease	C0004936	[mobd]
medical or psychological conditions	1	psychological condition	C1658764	[mobd]
medical problems	1	Medical problem	C1715372	[clna]
"medical, psychiatric and neurologic conditions"	1	Neurologic condition	C0027765	[dsyn]
"medical, psychiatric and neurological illnesses"	1	illnesses	C0221423	[sosy]
"medical, psychiatric or other condition"	1	Condition	C1705253	[cnce]
medical/neurological condition	1	Neurological condition	C0027765	[dsyn]
medication ( s )	1	S'	C2603362	[clna]
medication that lower the seizure threshold	1	Seizure threshold	C0520967	[fndg]
medications containing aluminum hydroxide	1	Aluminium hydroxide	C0002371	"[inch, phsu]"
medications with known relevant alpha-2c ar affinity	1	Affinity	C1510827	[npop]
medicines	1	Medicines	C0013227	[phsu]
meds	1	MEDS	C3280240	[dsyn]
medullary thyroid carcinoma	1	Medullary Thyroid Carcinoma	C0238462	[neop]
meglintinides	1	unmapped	unmapped	unmapped
memantin	1	Memantin	C0025242	"[orch, phsu]"
memory deficit	1	Memory Deficit	C0233794	[mobd]
memory deficits	1	Memory Deficits	C0233794	[mobd]
memory deterioration	1	Deterioration	C0868945	[phpr]
memory difficulties	1	Memory difficulties	C1843862	[fndg]
memory disorder	1	Memory Disorder	C0025261	[mobd]
memory loss	1	MEMORY LOSS	C0751295	[sosy]
memory loss complaint	1	Complaint	C0277786	[fndg]
memory or cognitive decline	1	Cognitive decline	C0338656	[mobd]
memory or cognitive impairment	1	Cognitive Impairment	C0338656	[mobd]
memory problem	1	Memory Problem	C0233794	[mobd]
meniere's disease	1	MENIERE DISEASE	C0025281	[dsyn]
meningeoma	1	"Meningioma, NOS"	C1762616	[neop]
menire's disease	1	Disease	C0012634	[dsyn]
mental status testing	1	testing	C0392366	[inpr]
mentally competent	1	Competent	C0086035	[qlco]
metabolic or toxic encephalopathy	1	"ENCEPHALOPATHY, TOXIC"	C0149504	[inpo]
metabolic syndrome	1	METABOLIC SYNDROME	C0524620	[dsyn]
